Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Michael Knowles,Daily Wire,21017,151
Republicans for the Rule of Law,Republicans for the Rule of Law,20721,20
County Solar Program,County Solar Programs,20210,61
Ocean Conservancy,Ocean Conservancy,20088,1806
World Wildlife Fund,World Wildlife Fund,20085,49
American Financial Advisory For A Better Future,American Financial Advisory For A Better Future,19988,35
Learn Our History,Learn Our History,19517,209
Instant HealthQuotes,Instant HealthQuotes,19000,8
"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,18765,32
GreaterGood.org,GreaterGood,18684,47
A Case for Women,A Case for Women LLC,18618,49
Michael Bennet,Bennet for Colorado,18359,37
Family Protection Association,The Family Protection Association,18048,396
United States Constitution,Keep and Bear,17774,82
Concealed Club,Concealed Club,17657,156
CARE,CARE,17534,169
We The People Holsters,WeThePeopleHolsters,17529,66
BOLD PAC,CHC BOLD PAC,17480,6
Progressive Turnout Project,Progressive Turnout Project,17375,27
Premium Care For Seniors,Healthy Living Initiative,17068,69
Proud Right Winger,Proud Right Winger,16923,346
American AF,"AAF Nation, LLC",16698,108
Protect the Investigation,Protect the Investigation,16585,50
Chad Benson Show,Chad Benson,16497,489
Cory Booker,Cory Booker for Senate,16271,26
Everytown for Gun Safety,Everytown for Gun Safety Action Fund,16204,59
Association for Accessible Medicines,Association for Accessible Medicines,16181,191
Dominion Energy South,Dominion Energy,16180,22
New Health Plans,Shop Insurance Plans,15446,56
Solar Programs In Ca Counties,Solar Programs In Ca Counties,15396,86
Indivisible Guide,Indivisible Project,15261,101
First Quote Medicare,FirstQuoteMedicare,15000,20
Every State For Israel,Chosen People,14842,11
Thad Michael is Senior Benefits,Thad Michael is Senior Benefits,14790,321
Progress News Network,Progress News Network,14760,15
End Citizens United,End Citizens United,14549,336
Make HIM Great,Spiritual Endeavors LLC,14326,57
Grunt Style,Grunt Style,14149,17
National Democratic Training Committee,the National Democratic Training Committee,13819,23
Democratic Senatorial Campaign Committee (DSCC),the DSCC,13781,192
Goods Unite Us,"Goods Unite Us, Inc.",13723,23
National Domestic Workers Alliance,National Domestic Workers Alliance,13722,134
CreditRepair.com,CreditRepair,13495,69
Kamala Harris,Kamala Harris for Senate,13386,1140
Seniors Speak Out,Seniors Speak Out,12958,16
Cool Effect,Cool Effect,12901,10
FAIR,Federation for American Immigration Reform,12609,13
Ben & Jerry's,Ben & Jerry's,12599,108
Microsoft,Microsoft,12581,8
USA for UNHCR,USA for UNHCR,12317,100
"Pep Boys - Manny, Moe & Jack",These ads ran without a disclaimer,12281,1
Dan Newlin,Dan Newlin Injury Attorneys,12006,3
FCTRY,FCTRY,11842,10
Oxfam,Oxfam America,11838,62
The Nib,The Nib,11705,124
Nelson for U.S. Senate,Bill Nelson for U.S. Senate,11605,130
22 Words,These ads ran without a disclaimer,11425,5
Minnesotans for Line 3,Minnesotans for Line 3,11394,16
Compare Medicare Quotes,"Benepath, Inc.",11375,8
SmartNews,"SmartNews International, Inc.",10884,418
NRA - National Rifle Association of America,NRA,10824,174
Jeff Merkley,Jeff Merkley for Oregon,10679,454
Joe Kennedy III,Joe Kennedy for Congress.,10647,365
dittymoji,"Zya, Inc.",10465,20
Reason To Believe,Reason To Believe PAC,10449,606
Friends of the Earth U.S.,Friends of the Earth,10325,40
Pfizer,Pfizer,10115,56
Thrasher Coffee,Thrasher Coffee,10015,40
MedicareSupplement.com,TZ Insurance Solutions,9970,335
Quicken Loans,These ads ran without a disclaimer,9938,3
John Legere,T-Mobile,9926,43
The Leadership Conference on Civil and Human Rights,The Leadership Conference Education Fund,9732,10
MasterClass,MasterClass,9649,36
Kirsten Gillibrand,Gillibrand for Senate,9634,62
NRDC,NRDC,9362,122
Illinois Policy,Illinois Policy,9224,22
Jewish Voice Ministries International,JVMI,9160,105
Solar Rebate,National Solar Rebate,9061,149
Your Obamacare Quote .com,"Fiorella Insurance Agency, Inc.",9028,8
It's Time D.C.,American Family Voices.,8980,25
The Wilderness Society,The Wilderness Society,8885,145
MoveOn,"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",8832,20
Run for Something,Run for Something PAC,8772,105
Californians for Cost Containment,Californians for Cost Containment,8731,25
Association of Young Americans,Association of Young Americans,8721,314
Daily Kos,Kos Media LLC.,8605,77
Lebowski Lovers,Lebowski Lovers,8601,205
4Patriots,4Patriots LLC,8572,36
Emerge America,Emerge America,8546,17
Airbnb Citizen,Airbnb,8508,43
Winning For Women,"Winning For Women, Inc.",8460,64
Home Ownership Matters,the National Association of REALTORS®,8399,6
UNICEF USA,UNICEF USA,8385,17
ATTN: Video,ATTN:,8244,3
Promise to Care,Massachusetts Senior Care Association,8200,4
FWD.us,FWD.us,8182,381
Friends of the IDF (FIDF),Friends of the IDF,8035,744
Better Angels - A documentary by director Malcolm Clarke,Better Angels,7922,8
45th President Donald J. Trump,OuterGoods LLC,7757,189
Union of Concerned Scientists,Union of Concerned Scientists,7724,78
Radio.com,Entercom Communications,7650,9
Swing Left,Swing Left. Not authorized by any candidate or candidate's committee.,7606,2
Family Survival,Family Survival,7534,46
Your Energy,American Gas Association,7411,32
Oceana,Oceana,7275,111
Gina Ortiz Jones for Congress,Gina Ortiz Jones for Congress,7189,12
Protect Your Maine Vote,Paid for by the NRCC and not authorized by any candidate or candidate's committee.,7183,1
Volunteer Ministers,Scientology Volunteer Ministers International,7163,1
Avocado Green Mattress,Avocado Green Mattress,7141,5
Environmental Defense Fund,Environmental Defense Fund,7098,294
PAC+,"PowerPACPlus, not authorized by any candidate or candidate's committee",7075,5
45 Hats,45 Hats,7073,93
Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,7070,18
ProgressNow Colorado,ProgressNow Colorado,7065,49
Adam Ruins Everything,truTV,7036,86
End Family Fire,End Family Fire with Facebook Ad Credits,7026,6
California Policy Center,California Policy Center,7000,2
SELC,The Southern Environmental Law Center,6840,48
Enroll2019,SIVA Marketing,6787,8
PolicyEd,Hoover Institution,6660,38
Cheddar,Cheddar,6637,11
Ben Ferguson,Ben Ferguson Show,6632,20
World Food Program USA,World Food Program USA,6611,69
Mississippi Victory Fund,Mississippi Victory Fund. Not Authorized by Any Candidate or Candidate's Committee,6571,2
Center for Union Facts,Center for Union Facts,6513,18
Cindy Hyde-Smith,CINDY HYDE-SMITH FOR US SENATE,6392,17
ReBuild USA,ReBuild USA,6288,8
Mic Dispatch,Mic,6272,6
Donald J. Trump,"Donald J. Trump for President, Inc.",6213,144
ACLU,the ACLU,6144,113
Jay Sekulow,American Center for Law and Justice,6122,11
Patients For Affordable Drugs NOW,Patients for Affordable Drugs NOW,6066,31
NRATV,NRATV,6065,33
Americans for Prosperity,Americans for Prosperity,6062,47
Special Olympics,Special Olympics,6016,74
I Love My Freedom,I Love My Freedom,5839,76
Citizens Energizing Michigan's Economy,CITIZENS FOR ENERGIZING MICHIGAN'S ECONOMY,5814,6
AFT - American Federation of Teachers,American Federation of Teachers,5771,25
Barnes & Noble,Barnes & Noble,5760,30
NC Conservation Network,the North Carolina Conservation Network,5756,2
Human Rights Campaign,Human Rights Campaign,5729,61
Mashable,AT&T Inc.,5720,7
Human Coalition,Human Coalition,5601,64
Strong Women Society,"Sky Took, LLC",5596,279
Ben Shapiro,Daily Wire,5567,70
Family Protection Association,These ads ran without a disclaimer,5540,7
STAND League,STAND League,5540,4
Tactical Pro Supply,Tactical Pro Supply,5514,564
Farm Credit,Farm Credit Council,5316,45
Adam Schiff,Adam Schiff for Congress,5259,40
Democratic Party,the Democratic National Committee,5222,1763
Mazie Hirono,Friends of Mazie Hirono,5189,12
Axios,Axios,5110,44
Mercy Corps,Mercy Corps,5107,56
Income Loopholes,Money Map Press,5102,22
Open Doors USA,Open Doors USA,5100,18
EmblemHealth,EmblemHealth,5093,10
AIPAC,AIPAC,5093,18
Conservative Gear,Conservative Gear,5077,275
U.S. Chamber of Commerce,U.S. Chamber of Commerce,5025,6
Demand Justice,Demand Justice,5000,4
U.S. Postal Inspection Service,US Postal Inspection Service,5000,1
Main Street Investors Coalition,Main Street Investors Coalition,5000,8
The People's Trumpet,The People's Trumpet LLC,4987,44
Defenders of Wildlife,Defenders of Wildlife,4928,214
Israeli American Council - IAC,Israeli American Council (IAC),4911,30
Travis Allen,TAKE BACK CALIFORNIA PAC,4895,6
The Collective PAC,The Collective PAC; not authorized by any candidate or any candidate's committee.,4843,21
Stop the Corridor,"Stop the Corridor, PO Box 98, Westbrook ME 04098",4827,1
Covenant House International,Covenant House International,4689,41
IL CleanJobs,IL Clean Jobs,4666,47
Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),4660,15
Power Past Impossible,Power Past Impossible,4640,109
Seeker,Seeker,4606,6
Bird + Stone,Bird + Stone,4604,28
Texas Public Policy Foundation,Texas Public Policy Foundation,4599,50
Gavin Newsom,Newsom for California Governor 2018,4577,157
Association of American Railroads,Association of American Railroads,4515,24
The BL,The Beauty of Life,4512,20
Hollywood Village,the Church of Scientology,4500,3
Vet Voice Foundation,Vet Voice Foundation,4500,1
Generation 180,Generation 180,4486,36
Nuclear Matters,Nuclear Matters,4473,30
Patriot Depot,Patriot Depot,4465,536
Hear Our Voice,These ads ran without a disclaimer,4452,225
Save the Storks,Save The Storks,4450,13
NumbersUSA,NumbersUSA,4410,2
TaxAct,TaxAct,4380,88
National Immigration Law Center,National Immigration Law Center,4356,12
Greenpeace USA,Greenpeace USA,4344,12
Discover Charter Schools,Discover Charter Schools,4330,43
Dinesh D'Souza,Dinesh D'Souza,4319,187
AARP AAPI Community,AARP,4312,8
Building New York's Best,Building New York's Best,4261,36
"I'll go ahead and keep my guns, Thanks",STAND FLAG POLES,4259,6
Brady Campaign,The Brady Campaign,4256,84
The Jim Jefferies Show,Comedy Central,4235,22
Verkada,Verkada,4228,26
Greg Laurie,Harvest Christian Fellowship,4200,3
Pennsylvanians for Reliable Energy,Pennsylvanians for Reliable Energy,4150,5
PETA (People for the Ethical Treatment of Animals),PETA,4150,91
Sand Cloud,Sand Cloud,4129,44
Rigged: The Voter Suppression Playbook,American Issues Initiative,4101,29
National Fair Housing Alliance,The National Fair Housing Alliance,4056,3
National Council on Aging,the National Council on Aging,4054,20
Trenton Don't Touch My Insurance Rates,Trenton Don’t Touch My Insurance,4041,29
Larry Hogan,"Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer",4024,2
AARP Advocates,AARP,4024,2
Responsible Battery Coalition,Responsible Battery Coalition,4000,3
Compassion in World Farming (USA),CIWF,3963,11
Naked Turtle White Rum,Diageo,3944,4
Restore Public Trust,Restore Public Trust,3943,2
The Fighting Forces,The Fighting Forces,3937,361
Dump Mike Espy,NRSC and not authorized by any candidate or candidate's committee.,3897,44
Restoring Tomorrow,Howling Wolf Productions,3872,25
Service Pet Verified,Service Pet Verified,3852,47
Stand Up America,Stand Up America,3849,1901
Smarter Faster,Axios Partner,3833,15
The BL TV,The Beauty of Life,3832,12
Dr. Robert Jeffress,Pathway to Victory,3815,4
DiversityInc,Diversity Incorporated,3769,62
Senator Ron Wyden,Wyden for Senate.,3744,139
B Corporation,These ads ran without a disclaimer,3716,25
Home Improvement Deals,Home Improvement Deal,3687,58
NYC Mayor's Office,the City of New York.,3683,15
Home Professionals,Home Professionals,3666,240
Hello Resistance,Hello Resistance,3652,9
Michigan Talent Investment Agency,Michigan Talent Investment Agency,3649,12
We Won't Be Silenced,Kettner Law,3595,30
Grand Canyon State Electric Cooperative Association,Grand Canyon State Electric Cooperative Association,3556,7
The Association of Zoos and Aquariums,These ads ran without a disclaimer,3555,1
Consumer Energy Alliance,Consumer Energy Alliance,3553,407
Convention of States,Convention of States Action,3546,27
Patriot News Alerts,Patriot News Alerts,3543,11
Providence St. Joseph Health,Providence St Joseph Health,3532,25
Ethos Research,Ethos Research,3518,19
PepsiCo Recycling,PepsiCo Recycling,3500,4
NRDC Action Fund,NRDC Action Fund,3498,65
National Partnership for Women & Families,National Partnership for Women & Families,3493,34
University of North Carolina System,The University of North Carolina System,3482,7
Pocket Politics,Kongregate,3481,7
Make Penny Stocks Great Again,Link Media,3481,2
Howstuffworks,HowStuffWorks,3461,11
NACECME,"National Association for Continuing Education (NACE), The Accredited Provider of Continuing Medical Education with Commendation. All NACE certified education undergo multiple peer reviews to ensure, scientific accuracy, no bias, accurate publication  citations. NACE has a strict confilict of Interest Disclosure Policy available at all NACE Activities.",3424,4
Plan International USA,Plan International USA,3411,34
Mapp-Potter,Friends of Ken Mapp,3404,29
Toad&Co,Toad&Co,3402,24
Major League Soccer (MLS),These ads ran without a disclaimer,3380,2
SimonBooks,Simon & Schuster,3369,3
Seventh Generation,Seventh Generation,3356,2
Texas Oil and Gas Association,Texas Oil and Gas Association,3340,182
Environmental Working Group,the Environmental Working Group,3284,89
California Solar Rebates & Tax Credits,California Solar Rebates & Tax Credits,3247,130
AMERIPAC,AMERIPAC,3237,1
Oklahoma Health Action,OK Health Action,3228,10
Free Press Action Fund,Free Press Action Fund,3201,6
Turning Point USA,Turning Point USA,3195,74
Build Gateway Coalition,Regional Plan Association,3184,38
PrintedKicks,PrintedKicks,3179,250
MoveOn,"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",3159,7
The BL Stories,The Beauty of Life,3150,9
Minnesota Ag-Energy Alliance,Minnesota Ag Energy Alliance,3137,6
FreedomWorks,FreedomWorks,3110,25
FreightWaves,FreightWaves,3103,9
CBN News,"The Christian Broadcasting Network, Inc.",3097,78
Ohio Education Association,Ohio Education Association,3074,9
Free Together,State Policy Network,3056,7
Our Planet,ATTN:,3042,1
The News and Why It Matters,TheBlaze,3041,123
Premier Health,Premier Health,3036,7
"Imprimis, a Publication of Hillsdale College",Hillsdale College,3018,33
Jefferson County Teachers Association (JCTA),Jefferson County Teachers Association,3010,12
KSTP-TV,KSTP-TV,3000,8
Progressive Impact,Brigade,2975,3
President Donald Trump Fan Club,I Love My Freedom,2974,8
Conservation International,Conservation International,2894,34
Wildlife Conservation Society,WCS,2884,49
Patagonia,Patagonia,2869,34
Freethink,Freethink Media,2860,9
Parks Project,Parks Project,2854,12
Advocate Alliance Group,Advocate Alliance Group,2846,5
Brave Response,Brave Response,2831,22
Recycle Cartons,Paid for by Carton Council,2814,61
Out2Enroll,Out 2 Enroll,2811,42
Open The Books,OpenTheBooks,2802,22
Conservative Corps,Brigade,2800,2
Rick Scott,Rick Scott for Florida,2800,1
Indiana Secretary of State Connie Lawson,Indiana Secretary of State,2800,6
Consumer Technology Association (CTA),Consumer Technology Association,2795,9
Save Our Air Medical Resources,Save Our Air Medical Resources,2787,17
Charlie Kirk,Charlie Kirk,2772,15
Fight Back,Fight Back Fund,2771,12
Spectrum News NY1,Spectrum News,2758,30
Colorado Counties Solar Programs,Colorado Counties Solar Program,2747,24
The Boeing Company,Boeing,2717,8
Home Professionals,These ads ran without a disclaimer,2715,48
The Commonwealth Fund,"The Commonwealth Fund, a nonpartisan organization",2699,17
New Chapter,New Chapter,2666,4
"Access Reproductive Care-Southeast, Inc.","Access Reproductive Care-Southeast, Inc.",2659,18
Lights On New Mexico,Lights On New Mexico,2635,10
Explore Offshore,American Petroleum Institute,2625,20
Olivela,Olivela,2596,20
Crime Survivors for Safety and Justice,Alliance for Safety and Justice,2596,19
Humane Society International,Humane Society International,2561,8
Donald Trump For President 2020,Donald Trump Collectables,2546,13
Stop The HIT,Stop The HIT Coalition,2537,37
Industry City,Industry City,2532,6
Pennsylvania State Treasurer Joe Torsella,Pennsylvania Taxpayers Dollars,2530,9
CREDO Mobile,"Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.",2530,183
Reclaim NY Now,RNY Initiative,2526,24
Brigade,Brigade,2524,3
Conservative Tribune,Conservative Tribune,2508,36
Monterey Bay Aquarium,Monterey Bay Aquarium,2507,36
TodayTix,These ads ran without a disclaimer,2500,2
Ana Hernandez for Texas Senate,the Ana Hernandez Campaign,2496,11
Aspen Snowmass,Aspen Snowmass,2496,22
Everyone in LA,United Way of Greater L.A.,2489,13
Energy Transfer,Energy Transfer,2471,4
Trafalgar Group,The Trafalgar Group,2461,3
Paris to Pittsburgh,Bloomberg Philanthropies,2450,4
ReThink Energy NJ,ReThink Energy New Jersey,2431,46
POET,POET.,2425,5
Campaign for Sustainable Rx Pricing,the Campaign for Sustainable Rx Pricing,2409,28
World Animal Protection USA,World Animal Protection,2406,23
Facing History and Ourselves,Facing History and Ourselves,2400,87
IFAW,International Fund for Animal Welfare,2396,12
African Wildlife Foundation,African Wildlife Foundation,2388,84
Rocket Mortgage by Quicken Loans,These ads ran without a disclaimer,2381,6
Save the Children US,Save the Children US,2376,15
Stanford Health Care,Stanford Health Care,2370,18
Headline Shirts,Headline Shirts,2361,21
Marsy's Law for Pennsylvania,"Marsy’s Law for Pennsylvania, LLC",2360,7
Doris Day Animal Foundation (DDAF),Doris Day Animal Foundation,2356,1
Exploiting America,Exploiting America,2346,13
PepcoConnect,"Pepco Holdings, Inc",2296,4
International Planned Parenthood Federation/Western Hemisphere Region,International Planned Parenthood Federation/Western Hemisphere Region,2284,16
Trump Care 2019,SIVA Marketing,2275,2
Indivisible Guide,Indivisible Action,2269,4
"Main Street Law Firm, PLLC","Main Street Law Firm, PLLC",2269,3
San Francisco-Marin Food Bank,San Francisco-Marin Food Bank,2260,3
Outrider Foundation,Outrider Foundation,2259,12
Earth Tomorrow,Earth Tomorrow Inc,2257,6
Sleep Out America,Covenant House,2254,32
Progress Michigan,"Progress Michigan, 215 S. Washington Sq., Suite 135, Lansing, MI 48933",2247,24
Puerto Rico Securities Lawsuits,"Levin, Papantonio, Thomas, Mitchell, Rafferty & Proctor, P.A",2227,5
Klean Kanteen,Klean Kanteen,2215,33
Smart Health Choice,Smart Health Choice,2212,20
Jobs for Minnesotans,Jobs for Minnesotans,2207,18
KSDK News,KSDK News.,2190,4
Newsy,Newsy,2188,10
People United for Privacy,People United for Privacy,2180,8
HIAS,HIAS,2174,125
Soi Dog Foundation,Soi Dog Foundation,2168,55
Indiana Commission for Higher Education,Indiana Commission for Higher Education,2163,7
The Patriotic Mint,Patriotic Mint Inc.,2137,13
Richard M. Fairbanks Foundation,Richard M. Fairbanks Foundation,2136,30
KevinMD.com,MedPage Today,2128,5
Alliance Defending Freedom,Alliance Defending Freedom,2122,31
Fiorella Insurance,Fiorella Insurance Agency Inc.,2093,4
Planted for People,America's Corn Farmers,2089,9
Walmart,These ads ran without a disclaimer,2088,5
Tetra Pak - USA,Tetra Pak,2086,6
All I want is Christmas,These ads ran without a disclaimer,2086,47
PredictIt,"PredictIt is a political prediction market, a stock market for politics. A project of Victoria University of Wellington, PredictIt has been established to research the way markets can forecast future events. Our job is to study the wisdom of the crowd, yours is to use your skill and knowledge to get ahead.",2068,11
Hearing Loss Association,Hearing Loss Association,2067,56
Educated Earthling,Educated Earthling,2017,49
Care Net,Care Net,2016,23
Blue Cross NC,Blue Cross NC,2014,5
Mayor Bill de Blasio,the City of New York,2011,8
Hildreth Institute Action Fund,Hildreth Institute Action Fund,2008,12
Wind Solar Alliance,The Wind Energy Foundation,2006,3
First Lady Chirlane McCray,the City of New York,2000,5
National Park Foundation,National Park Foundation,1997,175
Lambda Legal,Lambda Legal,1994,4
Bank of America,These ads ran without a disclaimer,1989,1
Texans for Natural Gas,Texans for Natural Gas,1982,71
Hulu,These ads ran without a disclaimer,1965,1
Marsy's Law for Idaho,"Marsy's Law for Idaho, L.L.C",1943,9
Global Financial Advisory,Global Financial Advisory,1939,8
National Automobile Dealers Association,National Automobile Dealers Association,1923,1
Nine Line Apparel,Nine Line Apparel,1916,58
Catholic Charities of New York,Catholic Charities Archdiocese of New York,1913,6
Elizabeth Esty,Friends of Elizabeth Esty,1900,24
NowThis Her,Planned Parenthood,1894,9
702 Gifts,GearBubble LLC,1894,27
Wounded Warrior Project,These ads ran without a disclaimer,1888,17
Elizabeth Dole Foundation,the Elizabeth Dole Foundation,1880,11
The Nature Conservancy in WA,The Nature Conservancy,1879,34
Mighty Earth,Mighty Earth,1853,15
Randy Weber,Weber for Congress,1852,1
The Palestine Institute for Public Diplomacy,The Palestine Institute for Public Diplomacy,1851,84
CREDO Mobile,CREDO Mobile,1840,20
Fight For Reform,End Citizens United Nonfederal,1838,5
Congressional Black Caucus PAC (CBC PAC),Congressional Black Caucus PAC,1830,4
Curzio Research,Curzio Research,1822,14
Patriot Act with Hasan Minhaj,These ads ran without a disclaimer,1821,1
UUSC: Unitarian Universalist Service Committee,Unitarian Universalist Service Committee,1821,6
Circa,Circa,1819,36
MoveOn,MoveOn.org Civic Action.,1803,758
Always On NY,New York State Laborers' Union,1794,36
Freestore Foodbank,Freestore Foodbank,1784,9
Colorado Clean Cars,Colorado Clean Cars,1784,19
Topic,Topic,1782,27
Warrior 12,Warrior 12,1775,8
No Labels,No Labels. Not Authorized by Any Candidate or Candidate Committee.,1772,241
Clean Ocean Movement,Clean Ocean Movement,1753,2
Michigan House Republicans,Michigan House Republicans,1750,1
"Zito Media - High Speed Internet, Digital Cable TV, & Digital Voice","Zito Media. We are a Cable, Phone and Internet Provider. Pricing, equipment availability, services available, and internet speeds vary based on location.",1743,42
Ditch the Estate Tax,Ditch the Estate Tax Campaign,1742,10
American Humane,American Humane,1741,3
National Union of Healthcare Workers,National Union of Healthcare Workers,1735,8
War Against Racism,War Against Racism,1735,4
Innocence Project,The Innocence Project,1734,41
12 News,12 News,1717,18
Home Energy Guide,Home Energy Guide,1707,73
Civiqs,Civiqs,1689,175
Manhattan Neighborhood Network - MNN,Manhattan Neighborhood Network,1688,12
Happy Earth Apparel,Happy Earth,1680,6
Ed Markey,The Markey Committee,1679,10
Silicon Valley Rising,Silicon Valley Rising,1679,8
Our Health Oregon,Our Health Oregon,1678,4
Abuse Guardian,Abuse Guardians,1675,4
CharterStrong,New Jersey Charter Schools Association,1674,16
Stand For Salmon,Stand for Salmon,1663,1
Tennesseans for Quality Early Education,Tennesseans For Quality Early Education PAC,1662,9
Independent Voter,IVN News,1655,9
American History TV,C-SPAN,1645,5
Military Officers Association of America (MOAA),Military Officers Association of America (MOAA),1644,22
Institute for Veterans and Military Families - IVMF,The Institute for Veterans and Military Families,1643,1
Dick Durbin,Friends of Dick Durbin,1635,2
Kansas State Treasurer Jake LaTurner,Kansas State Treasurer Jake LaTurner,1626,1
Solar Programs In AZ Counties,Solar Programs In AZ Counties,1610,40
New Mexicans for Economic Prosperity,New Mexicans for Economic Prosperity,1606,24
Rainforest Action Network,Rainforest Action Network,1602,21
Fake News at Night,New America Digital,1601,29
Slobodan Randjelovic,These ads ran without a disclaimer,1590,1
NewsChannel 5 Nashville,The NewsChannel 5 Network,1589,5
The Beer Institute,The Beer Institute,1586,14
Human Rights Watch,Human Rights Watch,1582,306
University Hospitals,University Hospitals,1576,7
Paycheckology,Paycheckology,1573,9
AMA Patients Action Network,American Medical Association,1571,14
Shatterproof,Shatterproof,1566,12
Shield Republic,Rustic Edge Marketing,1565,140
Road to Repair,ELEC825,1561,3
Armed American Supply,Armed American Supply,1555,581
Conversations with Bill Kristol,the Foundation for Constitutional Government,1550,59
Protect Our Workers' Earned Retirement Coalition,Protect Our Workers Earned Retirement,1544,11
Til Valhalla Project,Til Valhalla Project,1543,60
Sherrod Brown,Friends of Sherrod Brown,1542,24
Better Care for Florida,Better Care for Florida,1539,4
Commonwise,Commonwise,1537,94
Ocean & Co.,Ocean And Co,1532,14
The Actors Fund,Lautman Maska Neill & Company,1531,4
Here TV,Here TV,1525,22
Modernize Texas Spirits,The Distilled Spirits Council,1524,19
Dan Forest,Committee to Elect Dan Forest,1520,36
Making Every Vote Count,Making Every Vote Count,1519,45
Do Amore,These ads ran without a disclaimer,1518,9
GreaterHalf.com,Greater Half,1514,7
Citizens for Tobacco Rights,Citizens for Tobacco Rights,1502,4
Take On America With OZY,OZY Media,1502,82
"National Association for Family, School, and Community Engagement","National Association for Family, School and Community Engagement",1501,2
Nuclear Energy Institute,Nuclear Energy Institute,1500,18
UnitedHealthcare,UnitedHealthcare,1500,2
Melinda Gates,Melinda Gates,1500,1
"Planned Parenthood of South, East and North Florida","Planned Parenthood of South, East and North Florida",1500,1
United States Holocaust Memorial Museum,the United States Holocaust Memorial Museum,1499,31
Museum of Jewish Heritage - A Living Memorial to the Holocaust,Jason Schutzbank,1495,5
Power of Wind,the American Wind Energy Association,1491,6
Build With Strength,Build With Strength,1490,26
"Sanford Heisler Sharp, LLP","Sanford Heisler Sharp, LLP",1475,12
Consulta de Inmigracion en San Diego,The Cruz Law Office,1470,4
Kialo,Kialo,1470,19
Lincoln Land Wind,Lincoln Land Wind,1449,41
Ohio Clean Energy Jobs Alliance,First Energy Solutions,1442,1
Blumenthal Performing Arts,Blumenthal Performing Arts,1434,9
Grow Louisiana Coalition,Grow Louisiana Coalition,1432,31
Consumers Energy,Consumers Energy,1430,2
OneUnited Bank,OneUnited Bank,1427,23
UNITE HERE!,UNITE HERE,1425,16
Ro Khanna,Ro for Congress,1425,37
Virginians for Better Transportation,the Virginia Transportation Construction Alliance,1420,15
Trusted Conservative,Liberty Digest,1414,14
YouTube,These ads ran without a disclaimer,1414,1
Michigan Wildlife Council,Michigan Wildlife Council,1410,18
Look Again,LAPD foundation & Look Again LA,1400,4
NAACP Legal Defense Fund,NAACP Legal Defense Fund,1393,31
Live Action,Live Action,1390,20
Oregon Forests Forever,Paid for by Oregon Forests Forever,1380,5
A Case for Women,These ads ran without a disclaimer,1372,1
