Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
On the Basis of Sex,Focus Features,286153,203
International Rescue Committee,International Rescue Committee,188172,41
Care2,Care2,119896,1238
Concealed Online,Concealed Online,109139,560
The Humane Society of the United States,The Humane Society of the United States,93355,26
World Wildlife Fund,World Wildlife Fund,92845,357
PragerU,PragerU,92352,95
Sierra Club,Sierra Club,87615,498
Donald J. Trump,the Trump Make America Great Again Committee,83723,4316
4ocean,"4Ocean, LLC",82728,361
Feeding America,Feeding America,64650,81
Finance Watchdogs,Finance Watch Dogs,64593,644
Hefty,Hefty,63234,4
Planned Parenthood,Planned Parenthood Federation of America,61947,133
SeaWorld San Diego,SeaWorld Parks & Entertainment,61946,1
Heifer International,Heifer International,59267,801
Planned Parenthood Action,Planned Parenthood Action Fund.,56468,125
Judicial Watch,Judicial Watch,56231,204
"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,52342,51
Oxfam,Oxfam America,51393,192
Indivisible Guide,Indivisible Project,46626,210
Citizens for American Ideas,Citizens for American Ideas,44849,245
CARE,CARE,42909,216
Donald J. Trump,"Donald J. Trump for President, Inc.",39386,109
NowThis Her,Planned Parenthood,38847,14
FWD.us,FWD.us,38096,1542
NowThis,NowThis,37586,55
End Citizens United,End Citizens United,36675,107
ExxonMobil,ExxonMobil,36087,125
NFL,the NFL,35279,261
Global Financial Advisory,Global Financial Advisory,35000,34
USA for UNHCR,USA for UNHCR,34962,216
Americans for Tax Reform,Americans for Tax Reform,34691,153
Penzeys Spices,Penzeys,34298,61
Solar Energy Today,SOLAR ENERGY TODAY,33575,120
NowThis Sports,The National Football League,32969,3
Dissent Pins,Dissent Pins,32083,76
Investment Advisory Group,Investment Advisory Group,31145,73
Color Of Change,Color Of Change,30273,32
Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),30189,259
Balance Our Tax Code,Balance Our Tax Code,29803,22
Sandy Hook Promise,Sandy Hook Promise,29058,301
Mic,Mic,28875,15
Consumer Action for a Strong Economy,Consumer Action for a Strong Economy,28753,52
Awareness Amongst Americans,Awareness Amongst Americans,28167,6
The Wilderness Society,The Wilderness Society,27501,67
Family Protection Association,The Family Protection Association,25304,980
Humane Society International,Humane Society International,24837,60
Erase The Hate,"NBCUniversal Media, LLC",24579,90
NRDC,NRDC,24488,492
Team Trump 2020,I Love My Freedom,23917,23
Democratic Party,the Democratic National Committee,22856,1476
Wholesome Culture,Wholesome Culture,22542,182
Defenders of Wildlife,Defenders of Wildlife,22474,355
Engage Michigan,"Engage Michigan, 2727 Second Ave, Detroit, MI 48201",22403,27
FAIR,Federation for American Immigration Reform,22400,24
A Case for Women,A Case for Women LLC,21608,39
Naked Turtle White Rum,Diageo,21393,55
Safeway,Safeway,20872,2
Everytown for Gun Safety,Everytown for Gun Safety Action Fund,20841,105
Learn Our History,Learn Our History,20618,52
Amnesty International USA,Amnesty International USA,20484,173
American AF,"AAF Nation, LLC",20139,160
First Quote Medicare,FirstQuoteMedicare,19000,26
BOLD PAC,CHC BOLD PAC,18868,26
Cool Effect,Cool Effect,18745,11
National Domestic Workers Alliance,National Domestic Workers Alliance,18543,410
RADIO.COM,Entercom Communications,18498,7
NowThis Her,NowThis,18194,13
PepsiCo,These ads ran without a disclaimer,18142,2
EZ Insure,"Benepath, Inc.",17478,14
FCTRY,FCTRY,17452,20
CRTV,CRTV,17424,235
Save the Children US,Save the Children US,17280,33
Holmes & Watson,These ads ran without a disclaimer,17143,17
NARAL Pro-Choice America,NARAL Pro-Choice America,17009,481
The BL,The Beauty of Life,16941,163
WomanUp,Woman Up,16859,69
Environmental Defense Fund,Environmental Defense Fund,16768,486
Tom Steyer,Need to Impeach,16535,199
The Nature Conservancy,The Nature Conservancy,16023,64
Ocean Conservancy,Ocean Conservancy,15342,1108
45 Hats,45 Hats,15067,128
Instant HealthQuotes,Instant HealthQuotes,15000,14
FinalStraw,FinalStraw,14966,28
Goldman Sachs,These ads ran without a disclaimer,14735,19
The Nib,The Nib,14666,148
Retired Republicans,Agency Consulting LLC,14434,6
End Family Fire,End Family Fire with Facebook Ad Credits,14329,9
Michael Knowles,Daily Wire,14273,172
Cory Booker,Cory Booker for Senate,13833,21
Mercy Corps,Mercy Corps,13805,85
Progress North Carolina Action,Progress North Carolina Action,13644,81
Participant Media,"Participant Media, LLC",13531,24
Covenant House International,Covenant House International,13491,230
NRDC Action Fund,NRDC Action Fund,13172,32
Avocado Green Mattress,Avocado Green Mattress,12790,6
Financial Management for a better future,Financial Management For A Better Future,12704,7
Center for Biological Diversity,Center for Biological Diversity,12580,43
Concealed Club,Concealed Club,12515,55
Alliance Defending Freedom,Alliance Defending Freedom,12411,181
Nuclear Matters,Nuclear Matters,12361,44
NRATV,NRATV,12247,71
Prison Fellowship,Prison Fellowship,12079,5
Denver Rescue Mission,Denver Rescue Mission,11898,20
National Geographic TV,"National Geographic Partners, LLC",11877,20
National Geographic Society,National Geographic Society,11838,120
League of Conservation Voters,League of Conservation Voters,11817,30
Stand for the 2nd Amendment,SFT2 Tactical Supply,11806,90
No Kid Hungry,No Kid Hungry,11673,93
Elizabeth Warren,Elizabeth for MA,11566,428
10th Amendment Project,"TENTH AMENDMENT PROJECT, INC.",11520,8
ACTwireless,ACTwireless,11519,21
World Food Program USA,World Food Program USA,11275,73
Friends of the Earth U.S.,Friends of the Earth,11232,106
Oceana,Oceana,11219,142
Ben Ferguson,Ben Ferguson Show,10995,21
Always On NY,New York State Laborers' Union,10799,32
Cheddar,Cheddar,10654,10
IFAW,International Fund for Animal Welfare,10601,183
Union Gospel Mission of Portland,Union Gospel Mission Portland,10579,14
Minnesotans for Line 3,Minnesotans for Line 3,10451,18
Left Action,LeftAction,10397,9
8 Billion Trees,8BillionTrees Inc,10302,74
Mercy For Animals,Mercy For Animals,10222,404
XTO Energy,XTO Energy,10124,34
Federal Student Aid,U.S. Department of Education,9932,38
Providing Hope Va,Providing Hope Va,9900,2
Progressive Turnout Project,Progressive Turnout Project,9872,20
United States Holocaust Memorial Museum,the United States Holocaust Memorial Museum,9740,71
ACLU,the ACLU,9729,158
Tactical Pro Supply,Tactical Pro Supply,9715,448
Energy Citizens,American Petroleum Institute,9678,82
CREDO Mobile,CREDO Mobile,9627,47
Hugh Hewitt,Citizens for Truth in Drug Pricing,9588,110
Democratic Climate Action,Democratic Climate Action – a project of the Democratic Governors Association.,9544,14
Chad Benson Show,Chad Benson,9506,401
Fight for $15,United We Can,9374,12
Enbridge Line 3,Enbridge Line 3,9295,6
