Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
MoveOn,"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",1135065,988
Beto O'Rourke,Beto for Texas,897068,965
MoveOn,"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",775288,635
National Republican Congressional Committee,the NRCC and not authorized by any candidate or candidate's committee.,400447,1078
No Prop 8 - Stop the Dangerous Dialysis Prop,No on Proposition 8: Stop the Dangerous Dialysis Proposition,364905,253
Donald J. Trump,"Donald J. Trump for President, Inc.",304861,1981
JB Pritzker,JB for Governor,285731,189
Working For Us,Priorities USA Action and SMP. (302) 469-3772. (202) 871-9255. Not authorized by any candidate or candidate's committee.,229726,2145
The Daily Show,Comedy Central,227798,408
Be Registered,"Be Registered, LLC",224614,36
It’s Our America,Priorities USA Action and SMP. (302) 469-3772. (202) 871-9255. Not authorized by any candidate or candidate's committee.,207928,4244
Likewise Media,Likewise Media,195897,52
GOP,the Republican National Committee,192194,15499
Michigan Leadership Committee,Michigan Leadership Committee. Not authorized by any candidate.,191638,1741
LCV Victory Fund,"LCV Victory Fund, 740 15th St NW, Washington, DC 20005. Not authorized by any candidate or candidate's committee.",187178,1984
Senate Leadership Fund,Senate Leadership Fund,172235,415
No On Prop 10,No on Prop 10: Californians for Responsible Housing,167843,16
Planned Parenthood Action,"Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.",166144,204
NextGen America,NextGen Climate Action Committee; not authorized by any candidate or candidate's committee.,163968,1072
Keep Them Accountable,"HOUSE MAJORITY PAC, (202) 849-6052, AND PRIORITIES USA ACTION, (302) 469-3772. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",162435,417
Donald J. Trump,the Trump Make America Great Again Committee,161501,5053
FloridaStrong,Florida Strong Action PAC independently of any candidate.,158413,375
Concealed Online,Concealed Online,155658,1019
Penzeys Spices,Penzeys,145601,173
Voter Awareness Project,the Voter Awareness Project and not authorized by any candidate or candidate's committee. (707) 241-4996.,145205,10
Show Up To Vote,Show Up To Vote,141913,118
Yes On 1631,"Clean Air Clean Energy Washington 4347 Roosevelt Way NE Seattle, WA 98105",140111,133
ACLU,the ACLU,132094,527
Instagram,Instagram,126909,4
Andrew Gillum,the Florida Democratic Party,126624,296
Stacey Abrams,Stacey Abrams for Governor,122991,811
Progressive Turnout Project,Progressive Turnout Project,121857,1781
FLIC Votes,Community Change Voters,120216,54
Tom Steyer,Need to Impeach,116054,788
Democrats,DCCC,114037,372
