Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
TOMS,TOMS,409958,179
Financial Security Today,Financial Security Today,104604,32
Concealed Online,Concealed Online,100882,962
LevinTV,CRTV,85809,63
NowThis,NowThis,77327,51
MS Runoff Voter Alerts,NRSC and not authorized by any candidate or candidate’s committee,70355,84
Judicial Watch,Judicial Watch,66611,66
Care2,Care2,66021,603
The Humane Society of the United States,The Humane Society of the United States,64362,17
PragerU,PragerU,64281,217
Bank of America,Bank of America,62887,2
Heifer International,Heifer International,62234,680
Donald J. Trump,the Trump Make America Great Again Committee,60324,4600
4ocean,"4Ocean, LLC",60057,143
Freedom Finance Group,Freedom Finance Group,59474,20
CRTV,CRTV,55349,430
ExxonMobil,ExxonMobil,50301,77
International Rescue Committee,International Rescue Committee,48460,240
IUOE Local 150,IUOE Local 150,47150,5
Solar Energy Today,SOLAR ENERGY TODAY,46717,155
Tom Steyer,Need to Impeach,44680,252
World Wildlife Fund,World Wildlife Fund,41314,74
Planned Parenthood,Planned Parenthood Federation of America,39115,167
Sierra Club,Sierra Club,37771,283
Feeding America,Feeding America,35704,74
Finance Watchdogs,Finance Watch Dogs,35009,141
Democratic Party,the Democratic National Committee,33697,3824
Phil Robertson "The Duck Commander",CRTV,33474,14
America with Eric Bolling,CRTV,33295,70
Hope for America,Puppy Dogs & Ice Cream Publishing,32586,292
Mike Espy,Mike Espy for Senate Committee,32078,6
"I'll go ahead and keep my guns, Thanks",2A4LIFELLC,31806,39
A Case for Women,A Case for Women LLC,31587,25
The Nature Conservancy,The Nature Conservancy,31004,91
Advisement For Financial Security,Advisement for Financial Security,30361,37
"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,29899,39
Planned Parenthood Action,Planned Parenthood Action Fund.,28510,201
The Wilderness Society,The Wilderness Society,27125,178
Dissent Pins,Dissent Pins,27053,67
The Leadership Conference on Civil and Human Rights,The Leadership Conference Education Fund,24771,10
GOP,the Republican National Committee,24571,60
AT&T,These ads ran without a disclaimer,23734,102
CARE,CARE,22541,306
Mic,Mic,22136,63
Seniors Speak Out,Seniors Speak Out,20857,15
Avocado Green Mattress,Avocado Green Mattress,20832,10
"I'll go ahead and keep my guns, Thanks",STAND FLAG POLES,20523,9
Dump Mike Espy,NRSC and not authorized by any candidate or candidate's committee.,19825,107
National Domestic Workers Alliance,National Domestic Workers Alliance,18927,139
United States Constitution,Keep and Bear,18894,89
Cool Effect,Cool Effect,18347,11
American AF,"AAF Nation, LLC",17573,146
Everytown for Gun Safety,Everytown for Gun Safety Action Fund,17506,30
Learn Our History,Learn Our History,17206,85
Elizabeth Warren,Elizabeth for MA,16797,78
Concealed Club,Concealed Club,16747,67
Michael Bennet,Bennet for Colorado,16529,27
Working Families Party,Working Families Party,15995,42
CreditRepair.com,CreditRepair,15958,37
Amnesty International USA,Amnesty International USA,15936,117
John Legere,T-Mobile,15907,24
Defenders of Wildlife,Defenders of Wildlife,15820,234
America First Action,"America First Action, Inc.",15672,709
Donald J. Trump,"Donald J. Trump for President, Inc.",15574,602
Dominion Energy South,Dominion Energy,15516,21
Grunt Style,Grunt Style,15471,15
Progressive Turnout Project,Progressive Turnout Project,15137,28
Oxfam,Oxfam America,15026,55
Penzeys Spices,Penzeys,14532,183
Premium Care For Seniors,Healthy Living Initiative,14523,39
White House Brief,CRTV,14512,16
Center for Biological Diversity,Center for Biological Diversity,14372,63
Michael Knowles,Daily Wire,13979,91
BOLD PAC,CHC BOLD PAC,13936,6
Every State For Israel,Chosen People,13699,11
Association for Accessible Medicines,Association for Accessible Medicines,13572,147
Ocean Conservancy,Ocean Conservancy,13539,1382
ATTN: Video,ATTN:,13196,3
United States Holocaust Memorial Museum,the United States Holocaust Memorial Museum,13122,78
Nuclear Matters,Nuclear Matters,13070,25
FinalStraw,FinalStraw,12992,20
Senior Healthcare Direct,MedicareBob,12946,5
Building Financial Groundwork For The Future,Building Financial Groundwork For The Future,12763,18
Discover Charter Schools,Discover Charter Schools,12718,49
FAIR,Federation for American Immigration Reform,12590,13
NRDC,NRDC,12581,88
Cory Booker,Cory Booker for Senate,12575,12
Georgians for a Brighter Future,Georgians for a Brighter Future Inc.,12199,21
National Council on Aging,the National Council on Aging,11959,25
Thrasher Coffee,Thrasher Coffee,11888,39
Covenant House International,Covenant House International,11862,56
USA for UNHCR,USA for UNHCR,11818,107
Pocket Politics,Kongregate,11789,7
FCTRY,FCTRY,11732,13
New Health Plans,New Health Plans,11717,46
Family Survival,Family Survival,11397,48
Tactical Pro Supply,Tactical Pro Supply,11366,406
Protect the Investigation,Protect the Investigation,11169,7
Powerpac GA,PowerPAC Georgia,11000,5
Instant HealthQuotes,Instant HealthQuotes,11000,8
PAC+,"PowerPACPlus, not authorized by any candidate or candidate's committee",10966,10
Illinois Policy,Illinois Policy,10950,14
UNICEF USA,UNICEF USA,10819,23
Jewish Voice Ministries International,JVMI,10747,132
Thad Michael is Senior Benefits,Thad Michael is Senior Benefits,10683,196
Minnesotans for Line 3,Minnesotans for Line 3,10671,16
Kamala Harris,Kamala Harris for Senate,10647,3071
EZ Insure,"Benepath, Inc.",10600,12
Erase The Hate,"NBCUniversal Media, LLC",10598,56
Reason To Believe,Reason To Believe PAC,10432,804
45 Hats,45 Hats,10376,495
Friends of the Earth U.S.,Friends of the Earth,10312,40
First Quote Medicare,FirstQuoteMedicare,10000,20
Promise to Care,Massachusetts Senior Care Association,9992,4
LifeStraw,LifeStraw®,9973,259
National Immigration Law Center,National Immigration Law Center,9966,15
Sandy Hook Promise,Sandy Hook Promise,9892,97
The Nib,The Nib,9780,71
NRATV,NRATV,9600,47
Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,8831,18
Ben Ferguson,Ben Ferguson Show,8695,18
Always On NY,New York State Laborers' Union,8663,30
Susan B. Anthony List,Women Speak Out PAC,8613,11
Color Of Change,Color Of Change,8600,10
American Financial Advisory For A Better Future,American Financial Advisory For A Better Future,8591,40
Emerge America,Emerge America,8530,17
Just Energy United States,Just Energy Group Inc.,8420,12
NRA - National Rifle Association of America,NRA,8245,125
Parks Project,Parks Project,8243,42
FWD.us,FWD.us,8196,304
Americans for Prosperity,Americans for Prosperity,8186,46
NC Conservation Network,the North Carolina Conservation Network,8151,1
Care2,These ads ran without a disclaimer,8018,14
World Food Program USA,World Food Program USA,8007,45
MedicareSupplement.com,TZ Insurance Solutions,8001,316
Gavin Newsom,Newsom for California Governor 2018,7926,160
Adam Ruins Everything,truTV,7925,26
Cindy Hyde-Smith,CINDY HYDE-SMITH FOR US SENATE,7919,21
Wholesome Culture,Wholesome Culture,7891,40
The Leadership Conference on Civil and Human Rights,The Leadership Conference on Civil and Human Rights,7800,8
dittymoji,"Zya, Inc.",7455,30
Lindy Miller for Georgia,Miller for Georgia Inc,7435,8
Union of Concerned Scientists,Union of Concerned Scientists,7189,74
Stop the Corridor,"Stop the Corridor, PO Box 98, Westbrook ME 04098",7172,3
Action Against Hunger USA,Action Against Hunger,7136,50
AIPAC,AIPAC,7130,20
Winning For Women,"Winning For Women, Inc.",7103,102
Advocate Alliance Group,Advocate Alliance Group,6996,6
Association of American Railroads,Association of American Railroads,6987,18
California Policy Center,California Policy Center,6952,2
Conservation International,Conservation International,6928,18
End Family Fire,End Family Fire with Facebook Ad Credits,6858,6
Human Coalition,Human Coalition,6777,72
Sportsman's Art,the family of owners/operators of Sportsman's Art!,6742,2
Texas Public Policy Foundation,Texas Public Policy Foundation,6722,50
Shield Republic,Rustic Edge Marketing,6709,90
Human Rights Campaign,Human Rights Campaign,6689,49
Oceana,Oceana,6666,115
Save the Children US,Save the Children US,6643,21
Senate Leadership Fund,Senate Leadership Fund,6609,6
Close the Loophole IL,American Car Rental Association,6573,151
Catalyst Voices,Catalyst,6516,11
Lambda Legal,Lambda Legal,6493,7
Your Obamacare Quote .com,"Fiorella Insurance Agency, Inc.",6475,4
No Kid Hungry,No Kid Hungry,6430,141
IL CleanJobs,IL Clean Jobs,6388,16
Barnes & Noble,Barnes & Noble,6344,23
Jay Sekulow,American Center for Law and Justice,6185,4
National Democratic Training Committee,the National Democratic Training Committee,6177,23
The Boeing Company,Boeing,6174,6
New Health Plans,Shop Insurance Plans,6139,28
Environmental Defense Fund,Environmental Defense Fund,6091,339
NARAL Pro-Choice America,NARAL Pro-Choice America,6088,246
Brave Response,Brave Response,6067,21
Service Pet Verified,Service Pet Verified,6036,131
AARP Advocates,AARP,5976,2
Global Financial Advisory,Global Financial Advisory,5934,11
Compare Medicare Quotes,"Benepath, Inc.",5862,8
Citizens Energizing Michigan's Economy,CITIZENS FOR ENERGIZING MICHIGAN'S ECONOMY,5845,6
Special Olympics,Special Olympics,5815,29
Friends of the IDF (FIDF),Friends of the IDF,5775,679
SEIU,SEIU,5744,4
2nd Amendment For Life,2A4LIFE LLC,5711,7
Black Voters Matter,"Black Voters Matter Fund (866-302-0664), not authorized by any candidate or candidate's committee.",5480,7
Planted for People,America's Corn Farmers,5348,18
Howstuffworks,HowStuffWorks,5323,21
Goods Unite Us,"Goods Unite Us, Inc.",5301,28
Slobodan Randjelovic,These ads ran without a disclaimer,5289,1
ASPCA,These ads ran without a disclaimer,5263,18
Stand for Children Massachusetts,"Stand for Children, Inc.",5244,6
Patriot Depot,Patriot Depot,5144,474
Airbnb Citizen,Airbnb,5115,32
Farm Credit,Farm Credit Council,5044,196
We The People Holsters,WeThePeopleHolsters,5027,36
Solar Rebate,National Solar Rebate,5025,125
Enroll2019,SIVA Marketing,4945,8
ACLU,the ACLU,4904,83
End Citizens United,End Citizens United,4901,125
