Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
International Rescue Committee,International Rescue Committee,275346,247
PragerU,PragerU,153415,149
Feeding America,Feeding America,130744,90
Hope for America,Puppy Dogs & Ice Cream Publishing,118235,823
CRTV,CRTV,105316,301
TOMS,TOMS,104593,58
Concealed Online,Concealed Online,101264,1010
The Humane Society of the United States,The Humane Society of the United States,85652,46
Georgians for a Brighter Future,Georgians for a Brighter Future Inc.,81552,47
4ocean,"4Ocean, LLC",77142,360
Planned Parenthood,Planned Parenthood Federation of America,74075,481
Finance Watchdogs,Finance Watch Dogs,73867,309
Heifer International,Heifer International,70826,696
Senior Healthcare Direct,MedicareBob,70138,5
The Wilderness Society,The Wilderness Society,69085,256
LevinTV,CRTV,66404,46
Donald J. Trump,the Trump Make America Great Again Committee,65981,4346
World Wildlife Fund,World Wildlife Fund,61664,112
ExxonMobil,ExxonMobil,56733,163
CARE,CARE,55053,410
Judicial Watch,Judicial Watch,54573,65
Sierra Club,Sierra Club,51786,405
Planned Parenthood Action,Planned Parenthood Action Fund.,51169,291
Penzeys Spices,Penzeys,50622,167
NowThis,NowThis,49467,61
Tom Steyer,Need to Impeach,48978,155
Sandy Hook Promise,Sandy Hook Promise,47680,177
Solar Energy Today,SOLAR ENERGY TODAY,41301,162
Donald J. Trump,"Donald J. Trump for President, Inc.",41298,1401
"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,36146,35
MS Runoff Voter Alerts,NRSC and not authorized by any candidate or candidate’s committee,35896,86
American Financial Advisory For A Better Future,American Financial Advisory For A Better Future,35000,53
NFL,the NFL,33808,155
"I'll go ahead and keep my guns, Thanks",STAND FLAG POLES,33495,9
Advisement For Financial Security,Advisement for Financial Security,33092,51
End Citizens United,End Citizens United,32806,336
American AF,"AAF Nation, LLC",32178,159
Jewish Voice Ministries International,JVMI,31747,252
Planned Parenthood Action,"Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.",31346,51
USA for UNHCR,USA for UNHCR,30939,295
Care2,Care2,30332,541
Covenant House International,Covenant House International,29644,108
"I'll go ahead and keep my guns, Thanks",2A4LIFELLC,29553,32
Patients For Affordable Drugs NOW,Patients for Affordable Drugs NOW,28790,102
Financial Security Today,Financial Security Today,28691,17
Black Voters Matter,"Black Voters Matter Fund (866-302-0664), not authorized by any candidate or candidate's committee.",27440,19
Lindy Miller for Georgia,Miller for Georgia Inc,27389,76
Dissent Pins,Dissent Pins,25820,112
Ben & Jerry's,Ben & Jerry's,25561,41
Avocado Green Mattress,Avocado Green Mattress,24997,9
The Nature Conservancy,The Nature Conservancy,24912,87
Defenders of Wildlife,Defenders of Wildlife,24453,949
NARAL Pro-Choice America,NARAL Pro-Choice America,24254,657
Premium Care For Seniors,Healthy Living Initiative,24079,57
Learn Our History,Learn Our History,23691,86
A Case for Women,A Case for Women LLC,23349,45
Elizabeth Warren,Elizabeth for MA,23270,207
NRDC,NRDC,23179,343
PAC+,"PowerPACPlus, not authorized by any candidate or candidate's committee",22828,11
Democratic Party,the Democratic National Committee,22751,2447
White House Brief,CRTV,22668,26
America First Action,"America First Action, Inc.",21558,394
Mic,Mic,20941,27
National Domestic Workers Alliance,National Domestic Workers Alliance,20793,279
Discover Charter Schools,Discover Charter Schools,20711,55
America with Eric Bolling,CRTV,19924,36
Wholesome Culture,These ads ran without a disclaimer,19606,103
County Solar Program,County Solar Programs,19550,61
Bank of America,Bank of America,19425,5
Cool Effect,Cool Effect,18904,10
Humane Society International,Humane Society International,18847,66
SKYY Vodka,These ads ran without a disclaimer,18283,3
AARP Advocates,AARP,18275,15
Amnesty International USA,Amnesty International USA,17983,328
EZ Insure,"Benepath, Inc.",17608,23
ASPCA,These ads ran without a disclaimer,17537,104
Young America's Foundation,Young America's Foundation,17255,206
National Immigration Law Center,National Immigration Law Center,17070,15
NRATV,NRATV,16775,75
Everytown for Gun Safety,Everytown for Gun Safety Action Fund,16664,121
Always On NY,New York State Laborers' Union,16512,55
United States Constitution,Keep and Bear,16488,96
IFAW,International Fund for Animal Welfare,16365,209
Save the Children US,Save the Children US,16343,35
Shareblue Media,Shareblue Media,15820,14
Jay Sekulow,American Center for Law and Justice,15765,15
United States Holocaust Memorial Museum,the United States Holocaust Memorial Museum,15234,146
Instant HealthQuotes,Instant HealthQuotes,15000,8
Wholesome Culture,Wholesome Culture,14618,68
Freedom Finance Group,Freedom Finance Group,14583,17
ATTN: Video,ATTN:,14140,3
FinalStraw,FinalStraw,14025,18
New Health Plans,New Health Plans,13812,40
NICA - National Infusion Center Association,National Infusion Center Association,13710,318
Mike Espy,Mike Espy for Senate Committee,13574,8
PATH,"PATH, a global non-profit organization.",13013,11
Ocean Conservancy,Ocean Conservancy,12851,2289
AARP Advocates,AARP,12840,3
Action Against Hunger USA,Action Against Hunger,12736,29
Wounded Warrior Project,Wounded Warrior Project,12686,89
Adam Ruins Everything,truTV,12611,80
Thad Michael is Senior Benefits,Thad Michael is Senior Benefits,12576,259
FAIR,Federation for American Immigration Reform,12561,13
Joe Walsh,These ads ran without a disclaimer,12374,3
Concealed Club,Concealed Club,12319,59
Chuck Eaton,Chuck Eaton for Public Service Commission,12308,7
Ben Ferguson,Ben Ferguson Show,12278,18
FWD.us,FWD.us,12245,438
Michael Knowles,Daily Wire,12096,141
The Nib,The Nib,12065,103
Tactical Pro Supply,Tactical Pro Supply,12042,220
CreditRepair.com,CreditRepair,12009,55
Thrasher Coffee,Thrasher Coffee,11900,41
AIPAC,AIPAC,11667,30
Seniors Speak Out,Seniors Speak Out,11648,15
Every State For Israel,Chosen People,11617,12
Colorado Counties Solar Programs,Colorado Counties Solar Program,11544,66
Compare Medicare Quotes,"Benepath, Inc.",11338,8
World Food Program USA,World Food Program USA,11338,103
XTO Energy,XTO Energy,11229,24
Divide And Conquer: The Story Of Roger Ailes,Magnolia Pictures,11038,19
First Quote Medicare,FirstQuoteMedicare,11000,24
Michael Bennet,Bennet for Colorado,10962,35
Mercy Corps,Mercy Corps,10947,85
National Council on Aging,the National Council on Aging,10784,25
BOLD PAC,CHC BOLD PAC,10541,6
Minnesotans for Line 3,Minnesotans for Line 3,10531,22
Friends of the IDF (FIDF),Friends of the IDF,10485,663
John Legere,T-Mobile,10475,16
South Park,Comedy Central,10417,11
FCTRY,FCTRY,10390,11
Oxfam,Oxfam America,10373,58
Friends of the Earth U.S.,Friends of the Earth,10325,62
National Audubon Society,National Audubon Society,10309,47
Keep and Bear,Keep and Bear,10301,84
Home Professionals,Home Professionals,10200,1507
Cory Booker,Cory Booker for Senate,10022,18
WhosLiable,Mitchell at Law,9920,47
NC Conservation Network,the North Carolina Conservation Network,9863,21
GOP,the Republican National Committee,9851,60
Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,9774,18
Christina Aguilera,These ads ran without a disclaimer,9750,3
Texas Public Policy Foundation,Texas Public Policy Foundation,9737,54
Just Energy United States,Just Energy Group Inc.,9729,12
Reason To Believe,Reason To Believe PAC,9665,211
Solar Programs In Ca Counties,Solar Programs In Ca Counties,9645,53
Pfizer,Pfizer,9626,30
Chesapeake Bay Foundation,Chesapeake Bay Foundation,9583,16
Vera Institute of Justice,Vera Institute of Justice (501c3),9555,59
Sportsman's Art,the family of owners/operators of Sportsman's Art!,9431,2
MINI,MINI USA,9300,4
Grunt Style,Grunt Style,9271,11
TaxAct,TaxAct,9209,331
National Wildlife Federation,National Wildlife Federation,8805,21
Georgia Republican Party,"The Georgia Republican Party, Inc.",8599,4
Global Financial Advisory,Global Financial Advisory,8589,18
Emerge America,Emerge America,8547,17
Stop the Corridor,"Stop the Corridor, PO Box 98, Westbrook ME 04098",8534,7
Advocate Alliance Group,Advocate Alliance Group,8487,7
Everyone in LA,United Way of Greater L.A.,8446,12
John Barrow,Barrow for Georgia,8314,32
Nuclear Matters,Nuclear Matters,8197,19
Progressive Turnout Project,Progressive Turnout Project,8190,39
Erase The Hate,"NBCUniversal Media, LLC",8160,59
45 Hats,45 Hats,8122,436
Patagonia,Patagonia,8095,31
Oceana,Oceana,8044,194
Patriot News Alerts,Patriot News Alerts,7898,9
I Love My Freedom,I Love My Freedom,7838,250
Freedom Media & Ethics,Freedom Magazine,7816,10
"Law Offices of Spar & Bernstein, P.C.","Law Offices of Spar & Bernstein, P.C.",7758,18
Family Survival,Family Survival,7682,27
ACLU,the ACLU,7665,81
No Kid Hungry,No Kid Hungry,7661,201
Brave Response,Brave Response,7655,18
National Geographic Society,National Geographic Society,7592,105
Chad Benson Show,Chad Benson,7549,285
Republicans for the Rule of Law,Republicans for the Rule of Law,7444,27
Your Obamacare Quote .com,"Fiorella Insurance Agency, Inc.",7420,4
Climate Reality,The Climate Reality Project,7334,88
Planted for People,America's Corn Farmers,7331,25
Conservation International,Conservation International,7292,112
"Mark Hyman, MD",These ads ran without a disclaimer,7282,8
Comedy Central,Comedy Central,7277,22
Barnes & Noble,Barnes & Noble,7183,27
Federal Student Aid,U.S. Department of Education,7159,38
Nuclear Powers PA,Nuclear Powers Pennsylvania,7155,19
Indivisible Guide,Indivisible Project,7075,121
Catalyst Voices,Catalyst,6971,8
Human Coalition,Human Coalition,6961,93
Center for Union Facts,Center for Union Facts,6942,1
End Family Fire,End Family Fire with Facebook Ad Credits,6902,12
Nevada Conservation League,Nevada Conservation League,6830,9
Human Rights Watch,Human Rights Watch,6796,494
MedicareSupplement.com,TZ Insurance Solutions,6795,311
Conservation Voters New Mexico,Conservation Voters New Mexico,6770,8
Michigan One Fair Wage,Michigan One Fair Wage,6719,19
Americans for Prosperity,Americans for Prosperity,6716,54
Union of Concerned Scientists,Union of Concerned Scientists,6658,112
Illinois Policy,Illinois Policy,6607,21
UNICEF USA,UNICEF USA,6598,29
Kialo,Kialo,6546,35
SmartNews,"SmartNews International, Inc.",6481,392
4Patriots,4Patriots LLC,6464,11
Environmental Defense Fund,Environmental Defense Fund,6460,327
Seventh Generation,Seventh Generation,6400,6
Investment Advisory Group,Investment Advisory Group,6386,26
8 Billion Trees,8BillionTrees Inc,6301,43
Dominion Energy South,Dominion Energy,6294,19
LifeStraw,LifeStraw®,6268,202
Protect the Investigation,Protect the Investigation,6176,5
Special Olympics,Special Olympics,6175,38
GLAAD,GLAAD,6026,5
45th President Donald J. Trump,OuterGoods LLC,6008,130
Giffords,Giffords.,6000,107
Civiqs,Civiqs,5966,357
US Health Marketplace,Healthy Living Initiative,5952,9
Citizens Energizing Michigan's Economy,CITIZENS FOR ENERGIZING MICHIGAN'S ECONOMY,5757,16
Service Pet Verified,Service Pet Verified,5753,103
Close the Loophole IL,American Car Rental Association,5722,120
The BL,The Beauty of Life,5693,21
Goldman Sachs,Goldman Sachs,5619,12
PETA (People for the Ethical Treatment of Animals),PETA,5567,118
Stand for Children Massachusetts,"Stand for Children, Inc.",5525,21
Enroll2019,SIVA Marketing,5523,7
IL CleanJobs,IL Clean Jobs,5504,18
The BL TV,The Beauty of Life,5455,17
Participant Media,"Participant Media, LLC",5434,8
The Leadership Conference on Civil and Human Rights,The Leadership Conference Education Fund,5433,8
Susan B. Anthony List,Women Speak Out PAC,5424,11
Parks Project,Parks Project,5409,79
Southern Poverty Law Center,Southern Poverty Law Center,5383,113
National Committee to Preserve Social Security and Medicare,National Committee to Preserve Social Security & Medicare,5298,24
Tea Party Nation,the Tea Party Nation and is not authorized by any candidate or candidate's committee.,5270,8
Center for Biological Diversity,Center for Biological Diversity,5249,117
Cotopaxi,These ads ran without a disclaimer,5207,6
National Women's Law Center,the National Women's Law Center,5205,32
California Policy Center,California Policy Center,5186,2
People United for Privacy,People United for Privacy,5184,7
Georgia Strong,Engaged Georgia Action,5160,6
New York League of Conservation Voters,New York League of Conservation Voters,5100,8
Brad Raffensperger,Brad for Georgia SOS,5088,2
Ben Shapiro,Daily Wire,5087,48
Building New York's Best,Building New York's Best,5030,57
Association for Accessible Medicines,Association for Accessible Medicines,5018,79
Kirsten Gillibrand,Gillibrand for Senate,4999,59
Hearing Loss Association,Hearing Loss Association,4977,38
Color Of Change,Color Of Change,4953,17
GreaterGood.org,GreaterGood,4913,12
Institute for Veterans and Military Families - IVMF,The Institute for Veterans and Military Families,4800,1
Home Energy Guide,Home Energy Guide,4791,402
The BL Stories,The Beauty of Life,4746,23
Solar Rebate,National Solar Rebate,4669,122
Winning For Women,"Winning For Women, Inc.",4639,68
Howstuffworks,HowStuffWorks,4630,15
Patriot Depot,Patriot Depot,4621,452
"Imprimis, a Publication of Hillsdale College",Hillsdale College,4618,42
Compassion in World Farming (USA),CIWF,4588,13
Proud Right Winger,Proud Right Winger,4588,176
Shield Republic,Rustic Edge Marketing,4573,118
National Trust for Historic Preservation,National Trust for Historic Preservation,4565,38
Louisiana Secretary of State Kyle Ardoin,Kyle Ardoin for Secretary of State,4558,25
Earthjustice,Earthjustice,4555,18
Energy Transfer,Energy Transfer,4546,8
Stanford Health Care,Stanford Health Care,4539,31
Environmental Working Group,the Environmental Working Group,4537,141
Strong Women Society,"Sky Took, LLC",4511,107
NumbersUSA,NumbersUSA,4500,2
AARP AAPI Community,AARP,4492,7
New Health Plans,Shop Insurance Plans,4489,30
Save the Storks,Save The Storks,4454,13
Mercy For Animals,Mercy For Animals,4427,201
