Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
World Wildlife Fund,World Wildlife Fund,133973,329
Donald J. Trump,the Trump Make America Great Again Committee,116494,4702
Concealed Online,Concealed Online,104542,752
Sandy Hook Promise,Sandy Hook Promise,97209,441
Care2,Care2,88458,901
American AF,"AAF Nation, LLC",78256,171
Finance Watchdogs,Finance Watch Dogs,69888,550
Hefty,Hefty,69480,3
ExxonMobil,ExxonMobil,64803,146
Donald J. Trump,"Donald J. Trump for President, Inc.",58811,194
Feeding America,Feeding America,56122,93
PragerU,PragerU,55947,57
Judicial Watch,Judicial Watch,55093,86
International Rescue Committee,International Rescue Committee,54079,36
Heifer International,Heifer International,52948,748
American Financial Advisory For A Better Future,American Financial Advisory For A Better Future,48568,55
Sierra Club,Sierra Club,48145,359
"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,45499,48
Bank of America,Bank of America,43339,7
Planned Parenthood,Planned Parenthood Federation of America,41847,305
Americans for Tax Reform,Americans for Tax Reform,39842,159
Planned Parenthood Action,Planned Parenthood Action Fund.,37969,318
National Geographic TV,"National Geographic Partners, LLC",36685,80
CARE,CARE,36518,455
4ocean,"4Ocean, LLC",36216,90
Learn Our History,Learn Our History,36212,63
The Humane Society of the United States,The Humane Society of the United States,35750,21
Solar Energy Today,SOLAR ENERGY TODAY,32717,139
Dissent Pins,Dissent Pins,32209,95
FWD.us,FWD.us,31787,1518
"I'll go ahead and keep my guns, Thanks",STAND FLAG POLES,31694,9
Citizens for American Ideas,Citizens for American Ideas,31062,188
Shareblue Media,Shareblue Media,29860,24
Oxfam,Oxfam America,28918,128
NowThis Her,Planned Parenthood,28427,17
End Citizens United,End Citizens United,28194,500
Consumer Action for a Strong Economy,Consumer Action for a Strong Economy,28068,288
Ben & Jerry's,Ben & Jerry's,26858,18
FinalStraw,FinalStraw,25676,18
Family Protection Association,The Family Protection Association,25469,685
Tom Steyer,Need to Impeach,23685,234
NowThis,NowThis,23360,62
NARAL Pro-Choice America,NARAL Pro-Choice America,22879,284
USA for UNHCR,USA for UNHCR,22513,225
Left Action,LeftAction,22273,9
Defenders of Wildlife,Defenders of Wildlife,22268,596
Mic,Mic,21548,18
Everytown for Gun Safety,Everytown for Gun Safety Action Fund,21405,172
Elizabeth Warren,Elizabeth for MA,21162,512
EZ Insure,"Benepath, Inc.",20936,10
Advisement For Financial Security,Advisement for Financial Security,20808,18
Indivisible Guide,Indivisible Project,20225,242
Amnesty International USA,Amnesty International USA,20060,253
Instant HealthQuotes,Instant HealthQuotes,20000,12
A Case for Women,A Case for Women LLC,19979,41
Parks Project,Parks Project,19843,47
"I'll go ahead and keep my guns, Thanks",2A4LIFELLC,19757,17
Climate Reality,The Climate Reality Project,19751,95
Stop the Corridor,"Stop the Corridor, PO Box 98, Westbrook ME 04098",19137,14
IFAW,International Fund for Animal Welfare,18791,169
Democratic Party,the Democratic National Committee,18365,2637
National Domestic Workers Alliance,National Domestic Workers Alliance,18357,197
Pfizer,Pfizer,18138,56
Naked Turtle White Rum,Diageo,18082,42
Cool Effect,Cool Effect,17533,11
Cory Booker,Cory Booker for Senate,17509,23
Wholesome Culture,Wholesome Culture,16939,71
Global Financial Advisory,Global Financial Advisory,16925,67
Balance Our Tax Code,Balance Our Tax Code,16848,24
Participant Media,"Participant Media, LLC",16637,17
CRTV,CRTV,16190,285
NFL,the NFL,15855,203
League of Conservation Voters,League of Conservation Voters,15792,60
Stand for the 2nd Amendment,SFT2 Tactical Supply,15771,158
WomanUp,Woman Up,15770,14
Upworthy,Good Media Group,15728,119
On the Basis of Sex,Focus Features,15363,49
BOLD PAC,CHC BOLD PAC,15343,6
SEIU,SEIU,15243,10
XTO Energy,XTO Energy,15239,11
Women for Trump,Proud Right Winger,15171,324
Friends of the IDF (FIDF),Friends of the IDF,14925,611
Nevada Health Link,Nevada Health Link,14921,8
Bird + Stone,Bird + Stone,14820,58
US Health Marketplace,Healthy Living Initiative,14639,55
Home Professionals,Home Professionals,14412,1381
Progressive Turnout Project,Progressive Turnout Project,14242,15
Mary's Place,Mary's Place,14150,8
Providing Hope Va,Providing Hope Va,14106,1
NRDC,NRDC,13911,223
Team Trump 2020,I Love My Freedom,13861,42
Save the Children US,Save the Children US,13775,29
The Nib,The Nib,13712,102
California Water Service,California Water Service,13694,35
United States Constitution,Keep and Bear,13687,51
Concealed Club,Concealed Club,13620,78
Fair Fight Georgia,Fair Fight Action,13318,32
Minnesotans for Line 3,Minnesotans for Line 3,13062,20
ATTN:,ATTN:,13028,6
The Wilderness Society,The Wilderness Society,12949,113
Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),12903,56
NRDC Action Fund,NRDC Action Fund,12901,42
45 Hats,45 Hats,12752,130
FAIR,Federation for American Immigration Reform,12446,14
NRATV,NRATV,12410,47
Americans for Prosperity,Americans for Prosperity,12331,35
MINI,MINI USA,12255,2
Ocean Conservancy,Ocean Conservancy,12062,1462
New Jersey Citizen Action,New Jersey Citizen Action,12005,15
Oceana,Oceana,11927,168
Investment Advisory Group,Investment Advisory Group,11722,58
Silkies,"Marin Crops, LLC",11555,12
Energy Citizens,American Petroleum Institute,11521,48
Erase The Hate,"NBCUniversal Media, LLC",11363,59
Compare Medicare Quotes,"Benepath, Inc.",11353,16
Friends of the Earth U.S.,Friends of the Earth,11308,72
Microsoft,Microsoft,11238,24
Ben Ferguson,Ben Ferguson Show,11203,21
California League of Conservation Voters,California League of Conservation Voters,11059,3
First Quote Medicare,FirstQuoteMedicare,11000,26
FCTRY,FCTRY,10912,15
RALI Minnesota,Rx Abuse Leadership Initiative,10827,3
Keep and Bear,Keep and Bear,10752,109
Covenant House International,Covenant House International,10655,117
Michael Knowles,Daily Wire,10591,104
Tactical Rabbit Inc.,Tactical Rabbit Inc,10517,54
Theodore Roosevelt Conservation Partnership,the Theodore Roosevelt Conservation Partnership,10493,357
New Health Plans,New Health Plans,10482,28
Mercy Corps,Mercy Corps,10327,61
Thrasher Coffee,Thrasher Coffee,10108,41
Avocado Green Mattress,Avocado Green Mattress,10091,6
Dan McCready for Congress,McCready for Congress,10082,337
Color Of Change,Color Of Change,9915,45
Federal Student Aid,U.S. Department of Education,9661,40
World Food Program USA,World Food Program USA,9650,57
Great America PAC,Great America PAC,9571,112
NICA - National Infusion Center Association,National Infusion Center Association,9549,410
Chad Benson Show,Chad Benson,9512,230
Jay Sekulow,American Center for Law and Justice,9500,18
ACTwireless,ACTwireless,9449,39
National Geographic Society,National Geographic Society,9242,92
Abortion On Our Own Terms,Abortion On Our Own Terms,9237,174
United States Holocaust Memorial Museum,the United States Holocaust Memorial Museum,9237,67
National Democratic Training Committee,the National Democratic Training Committee,9233,48
Enbridge Line 3,Enbridge Line 3,9186,6
Action Against Hunger USA,Action Against Hunger,9145,44
NO New Oklahoma TAXES,No New Oklahoma Taxes,9087,7
AIPAC,AIPAC,9078,19
Always On NY,New York State Laborers' Union,8885,29
People United for Privacy,People United for Privacy,8853,10
National Health Insurance Savings,National Health Insurance Savings,8798,27
Oh Politics,OhPolitics Etsy Store,8787,88
Nuclear Matters,Nuclear Matters,8726,45
Must Have Gadgets,These ads ran without a disclaimer,8690,4
Kialo,Kialo,8664,31
Humane Society International,Humane Society International,8573,13
Emerge America,Emerge America,8534,46
CreditRepair.com,CreditRepair,8510,24
Center for Biological Diversity,Center for Biological Diversity,8479,37
Jewish Voice Ministries International,JVMI,8413,158
The Nature Conservancy,The Nature Conservancy,8374,41
Awareness Amongst Americans,Awareness Amongst Americans,8343,11
Every State For Israel,Chosen People,8308,12
PATH,"PATH, a global non-profit organization.",8254,18
Change to Win,Change to Win,8150,35
Association for Accessible Medicines,Association for Accessible Medicines,8098,36
Planned Parenthood Advocates of Michigan,"Planned Parenthood of Advocates of Michigan | PO Box 15041, Lansing, MI 48901",8036,17
World Vision USA,World Vision USA,8012,4
Patriot News Alerts,Patriot News Alerts,7968,9
SodaStream USA,These ads ran without a disclaimer,7932,2
John Legere,T-Mobile,7881,16
Appalachian Mountain Club,Appalachian Mountain Club,7820,246
"Law Offices of Spar & Bernstein, P.C.","Law Offices of Spar & Bernstein, P.C.",7748,6
Thad Michael is Senior Benefits,Thad Michael is Senior Benefits,7723,160
Cheddar,Cheddar,7591,9
Environmental Defense Fund,Environmental Defense Fund,7494,597
Tactical Pro Supply,Tactical Pro Supply,7430,335
Americans For Healthcare Freedom,Americans for Government Accountability.,7420,2
Conservation International,Conservation International,7293,96
End Family Fire,End Family Fire with Facebook Ad Credits,7285,9
Alliance Defending Freedom,Alliance Defending Freedom,7250,47
Taryn Teutsch,Justice4mom,7231,7
Beyond Casual B,These ads ran without a disclaimer,7118,1
Coalition to Protect America's Health Care,Coalition to Protect America's Health Care,7053,18
The BL,The Beauty of Life,7038,99
Enroll2019,SIVA Marketing,7018,8
Ocean & Co.,Ocean And Co,7003,17
Likewise,Likewise National,7000,2
Awareness Amongst Americans,Awareness Amongst Americans,6986,23
Union of Concerned Scientists,Union of Concerned Scientists,6949,56
UNICEF USA,UNICEF USA,6919,28
Compassion in World Farming (USA),CIWF,6915,24
Daley for Mayor,Daley for Mayor,6908,2
Nuclear Powers PA,Nuclear Powers Pennsylvania,6811,16
Advocate Alliance Group,Advocate Alliance Group,6805,7
Doctors Without Borders/ Médecins Sans Frontières (MSF),These ads ran without a disclaimer,6769,33
Sherrod Brown,Friends of Sherrod Brown,6617,8
Consumer Protection Coalition,Paid for by the Consumer Protection Coalition,6612,19
Retired Republicans,Agency Consulting LLC,6578,14
Grunt Style,Grunt Style,6576,8
Make America Great Again - Republican,Agency Consulting LLC,6518,8
Concerned Women For America LAC,CONCERNED WOMEN FOR AMERICA,6449,30
Building New York's Best,Building New York's Best,6432,138
Bill Gates,Bill Gates,6424,20
Yosemite Conservancy,Yosemite Conservancy,6411,293
Mercy For Animals,Mercy For Animals,6357,317
I Love My Freedom,I Love My Freedom,6305,48
Consumer Energy Alliance,Consumer Energy Alliance,6260,22
Center for Union Facts,Center for Union Facts,6224,2
Michael Bennet,Bennet for Colorado,6206,36
Brave Response,Brave Response,6196,20
Ben Shapiro,Daily Wire,6168,54
Conservative Gear,Conservative Gear,6073,309
Ohio Education Association,Ohio Education Association,5961,6
Solar Solutions,"Solar Solutions A Solar Energy Company Based In Los Angeles, CA.",5934,4
2nd Amendment Depot,2nd Amendment Depot,5895,209
National Council on Aging,the National Council on Aging,5885,30
PNC,PNC Financial Services,5868,13
Michigan Families for Opportunity,Michigan Families for Opportunity,5818,115
Campaign for Sustainable Rx Pricing,the Campaign for Sustainable Rx Pricing,5784,65
Texas Public Policy Foundation,Texas Public Policy Foundation,5720,42
NumbersUSA,NumbersUSA,5670,2
Hello Resistance,Hello Resistance,5659,18
New Health Plans,Shop Insurance Plans,5647,16
PRJKT RUBY,PRJKT RUBY,5551,49
CARE Action,CARE,5478,80
Equality PAC,Equality PAC,5423,3
Ron DeSantis,the Republican Party of Florida.,5400,3
Fight for $15,United We Can,5324,12
The Committee to Defend the President,The Committee to Defend The President,5179,136
Donald Trump Dog Poop Bags,Donald Trump Dog Poop Bags,5175,7
