Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
Concealed Online,Concealed Online,111050,772
Bank of America,Bank of America,105806,6
World Wildlife Fund,World Wildlife Fund,96382,239
American AF,"AAF Nation, LLC",89932,163
4ocean,"4Ocean, LLC",80410,356
Finance Watchdogs,Finance Watch Dogs,77473,301
Donald J. Trump,the Trump Make America Great Again Committee,74138,4342
NFL,the NFL,70573,190
PragerU,PragerU,65536,97
Senior Healthcare Direct,MedicareBob,64398,5
Heifer International,Heifer International,60583,876
The Humane Society of the United States,The Humane Society of the United States,59513,12
NARAL Pro-Choice America,NARAL Pro-Choice America,55034,408
American Financial Advisory For A Better Future,American Financial Advisory For A Better Future,52462,80
ExxonMobil,ExxonMobil,50633,139
CARE,CARE,48448,578
Sierra Club,Sierra Club,43515,341
Ben & Jerry's,Ben & Jerry's,41166,20
Care2,Care2,40891,672
Lindy Miller for Georgia,Miller for Georgia Inc,38949,93
Donald J. Trump,"Donald J. Trump for President, Inc.",38824,1073
Solar Energy Today,SOLAR ENERGY TODAY,38653,152
Elizabeth Warren,Elizabeth for MA,38619,503
Planned Parenthood,Planned Parenthood Federation of America,38178,156
Feeding America,Feeding America,38149,96
Mic,Mic,37932,23
"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,37770,35
Learn Our History,Learn Our History,37704,95
Patients For Affordable Drugs NOW,Patients for Affordable Drugs NOW,36484,64
John Barrow,Barrow for Georgia,35348,40
"I'll go ahead and keep my guns, Thanks",STAND FLAG POLES,35000,9
Georgians for a Brighter Future,Georgians for a Brighter Future Inc.,34761,23
Shareblue Media,Shareblue Media,34681,18
Planned Parenthood Action,Planned Parenthood Action Fund.,33689,106
International Rescue Committee,International Rescue Committee,33134,105
Advisement For Financial Security,Advisement for Financial Security,32999,59
Dissent Pins,Dissent Pins,32680,94
Premium Care For Seniors,Healthy Living Initiative,31070,56
End Citizens United,End Citizens United,30244,210
Divide And Conquer: The Story Of Roger Ailes,Magnolia Pictures,28298,27
Tom Steyer,Need to Impeach,27164,189
Freedom Media & Ethics,Freedom Magazine,26751,14
Sandy Hook Promise,Sandy Hook Promise,25019,229
"I'll go ahead and keep my guns, Thanks",2A4LIFELLC,24934,22
Penzeys Spices,Penzeys,24679,65
National Geographic TV,"National Geographic Partners, LLC",23526,40
National Immigration Law Center,National Immigration Law Center,23402,12
Everytown for Gun Safety,Everytown for Gun Safety Action Fund,23048,315
Planned Parenthood Action,"Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.",22354,20
AARP Advocates,AARP,22211,10
Jewish Voice Ministries International,JVMI,21222,239
USA for UNHCR,USA for UNHCR,21200,107
MINI,MINI USA,20998,4
Amnesty International USA,Amnesty International USA,19995,208
A Case for Women,A Case for Women LLC,19027,35
Indivisible Guide,Indivisible Project,19026,233
Left Action,LeftAction,18622,5
SEIU,SEIU,18620,21
Powerpac GA,PowerPAC Georgia,18403,9
Cool Effect,Cool Effect,18111,10
Defenders of Wildlife,Defenders of Wildlife,17584,469
